user_id,item_id,timestamp,state_label,comma_separated_list_of_features
0,0,0,1.0,1.0
0,1,1,1.0,1.0
0,2,2,1.0,1.0
0,3,3,1.0,1.0
0,4,4,1.0,1.0
0,5,5,1.0,1.0
0,6,6,1.0,1.0
0,7,7,1.0,1.0
1,0,1,1.0,1.0
1,1,2,1.0,1.0
1,2,3,1.0,1.0
1,3,4,1.0,1.0
1,4,5,1.0,1.0
1,5,6,1.0,1.0
1,6,7,1.0,1.0
1,7,0,1.0,1.0
2,0,2,1.0,1.0
2,1,3,1.0,1.0
2,2,4,1.0,1.0
2,3,5,1.0,1.0
2,4,6,1.0,1.0
2,5,7,1.0,1.0
2,6,0,1.0,1.0
2,7,1,1.0,1.0
3,0,3,1.0,1.0
3,1,4,1.0,1.0
3,2,5,1.0,1.0
3,3,6,1.0,1.0
3,4,7,1.0,1.0
3,5,0,1.0,1.0
3,6,1,1.0,1.0
3,7,2,1.0,1.0
4,0,4,1.0,1.0
4,1,5,1.0,1.0
4,2,6,1.0,1.0
4,3,7,1.0,1.0
4,4,0,1.0,1.0
4,5,1,1.0,1.0
4,6,2,1.0,1.0
4,7,3,1.0,1.0
5,0,5,1.0,1.0
5,1,6,1.0,1.0
5,2,7,1.0,1.0
5,3,0,1.0,1.0
5,4,1,1.0,1.0
5,5,2,1.0,1.0
5,6,3,1.0,1.0
5,7,4,1.0,1.0
6,0,6,1.0,1.0
6,1,7,1.0,1.0
6,2,0,1.0,1.0
6,3,1,1.0,1.0
6,4,2,1.0,1.0
6,5,3,1.0,1.0
6,6,4,1.0,1.0
6,7,5,1.0,1.0
7,0,7,1.0,1.0
7,1,0,1.0,1.0
7,2,1,1.0,1.0
7,3,2,1.0,1.0
7,4,3,1.0,1.0
7,5,4,1.0,1.0
7,6,5,1.0,1.0
7,7,6,1.0,1.0
0,0,8,1.0,1.0
0,1,9,1.0,1.0
0,2,10,1.0,1.0
0,3,11,1.0,1.0
0,4,12,1.0,1.0
0,5,13,1.0,1.0
0,6,14,1.0,1.0
0,7,15,1.0,1.0
1,0,9,1.0,1.0
1,1,10,1.0,1.0
1,2,11,1.0,1.0
1,3,12,1.0,1.0
1,4,13,1.0,1.0
1,5,14,1.0,1.0
1,6,15,1.0,1.0
1,7,8,1.0,1.0
2,0,10,1.0,1.0
2,1,11,1.0,1.0
2,2,12,1.0,1.0
2,3,13,1.0,1.0
2,4,14,1.0,1.0
2,5,15,1.0,1.0
2,6,8,1.0,1.0
2,7,9,1.0,1.0
3,0,11,1.0,1.0
3,1,12,1.0,1.0
3,2,13,1.0,1.0
3,3,14,1.0,1.0
3,4,15,1.0,1.0
3,5,8,1.0,1.0
3,6,9,1.0,1.0
3,7,10,1.0,1.0
4,0,12,1.0,1.0
4,1,13,1.0,1.0
4,2,14,1.0,1.0
4,3,15,1.0,1.0
4,4,8,1.0,1.0
4,5,9,1.0,1.0
4,6,10,1.0,1.0
4,7,11,1.0,1.0
5,0,13,1.0,1.0
5,1,14,1.0,1.0
5,2,15,1.0,1.0
5,3,8,1.0,1.0
5,4,9,1.0,1.0
5,5,10,1.0,1.0
5,6,11,1.0,1.0
5,7,12,1.0,1.0
6,0,14,1.0,1.0
6,1,15,1.0,1.0
6,2,8,1.0,1.0
6,3,9,1.0,1.0
6,4,10,1.0,1.0
6,5,11,1.0,1.0
6,6,12,1.0,1.0
6,7,13,1.0,1.0
7,0,15,1.0,1.0
7,1,8,1.0,1.0
7,2,9,1.0,1.0
7,3,10,1.0,1.0
7,4,11,1.0,1.0
7,5,12,1.0,1.0
7,6,13,1.0,1.0
7,7,14,1.0,1.0
0,0,16,1.0,1.0
0,1,17,1.0,1.0
0,2,18,1.0,1.0
0,3,19,1.0,1.0
0,4,20,1.0,1.0
0,5,21,1.0,1.0
0,6,22,1.0,1.0
0,7,23,1.0,1.0
1,0,17,1.0,1.0
1,1,18,1.0,1.0
1,2,19,1.0,1.0
1,3,20,1.0,1.0
1,4,21,1.0,1.0
1,5,22,1.0,1.0
1,6,23,1.0,1.0
1,7,16,1.0,1.0
2,0,18,1.0,1.0
2,1,19,1.0,1.0
2,2,20,1.0,1.0
2,3,21,1.0,1.0
2,4,22,1.0,1.0
2,5,23,1.0,1.0
2,6,16,1.0,1.0
2,7,17,1.0,1.0
3,0,19,1.0,1.0
3,1,20,1.0,1.0
3,2,21,1.0,1.0
3,3,22,1.0,1.0
3,4,23,1.0,1.0
3,5,16,1.0,1.0
3,6,17,1.0,1.0
3,7,18,1.0,1.0
4,0,20,1.0,1.0
4,1,21,1.0,1.0
4,2,22,1.0,1.0
4,3,23,1.0,1.0
4,4,16,1.0,1.0
4,5,17,1.0,1.0
4,6,18,1.0,1.0
4,7,19,1.0,1.0
5,0,21,1.0,1.0
5,1,22,1.0,1.0
5,2,23,1.0,1.0
5,3,16,1.0,1.0
5,4,17,1.0,1.0
5,5,18,1.0,1.0
5,6,19,1.0,1.0
5,7,20,1.0,1.0
6,0,22,1.0,1.0
6,1,23,1.0,1.0
6,2,16,1.0,1.0
6,3,17,1.0,1.0
6,4,18,1.0,1.0
6,5,19,1.0,1.0
6,6,20,1.0,1.0
6,7,21,1.0,1.0
7,0,23,1.0,1.0
7,1,16,1.0,1.0
7,2,17,1.0,1.0
7,3,18,1.0,1.0
7,4,19,1.0,1.0
7,5,20,1.0,1.0
7,6,21,1.0,1.0
7,7,22,1.0,1.0
0,0,24,1.0,1.0
0,1,25,1.0,1.0
0,2,26,1.0,1.0
0,3,27,1.0,1.0
0,4,28,1.0,1.0
0,5,29,1.0,1.0
0,6,30,1.0,1.0
0,7,31,1.0,1.0
1,0,25,1.0,1.0
1,1,26,1.0,1.0
1,2,27,1.0,1.0
1,3,28,1.0,1.0
1,4,29,1.0,1.0
1,5,30,1.0,1.0
1,6,31,1.0,1.0
1,7,24,1.0,1.0
2,0,26,1.0,1.0
2,1,27,1.0,1.0
2,2,28,1.0,1.0
2,3,29,1.0,1.0
2,4,30,1.0,1.0
2,5,31,1.0,1.0
2,6,24,1.0,1.0
2,7,25,1.0,1.0
3,0,27,1.0,1.0
